from,to,relationship
uvdl,500,1
lk,500,1
nr,500,1
sw,500,1
cs,500,1
cl,501,1
nr,501,1
ks,501,1
lm,501,1
kd,501,1
el,501,1
ab,502,1
ft,502,1
am,502,1
agl,502,1
er,502,1
rh,503,1
lk,503,1
cm,503,1
kp,503,1
rk,503,1
cla,504,1
agl,504,1
sb,504,1
ch,504,1
mw,504,1
os,505,1
uvdl,cdu,2
lk,spd,2
nr,cdu,2
uvdl,nr,3
nr,uvdl,3
sw,linke,2
cl,fdp,2
el,evp,2
ab,gruene,2
ft,pvda,2
agl,fdp,2
agl,cl,3
cl,agl,3
rh,gruene,2
rh,ab,3
ab,rh,3
rk,cdu,2
rk,uvdl,3
rk,nr,3
uvdl,rk,3
nr,rk,3
cla,spd,2
cla,lk,3
lk,cla,3
os,spd,2
os,lk,3
lk,os,3
os,cla,3
cla,os,3
